"","FIPS","BWD","AWD","HWD","NWWD","BWI","AWI","HWI","NWWI","H"
"1042","36019",0.565538300080054,0.4169614067354,0.427688737653489,0.405392373070625,0.738341571629186,0.84632977277703,0.781446499644658,0.788487195138147,0.156543654954246
"1043","36021",0.546602791595406,0.51077818204013,0.253101799966659,0.307547156048384,0.691303613243615,0.726174935571531,0.831335738009374,0.772551054522113,0.124038259848779
"1044","36023",0.39098814273239,0.49187251438447,0.33665292098522,0.256438533333092,0.899265502153381,0.932821218716613,0.898797559328583,0.906187869284575,0.0867209034669789
"1045","36027",0.503059048990327,0.355102173102288,0.281159324725749,0.302160800613823,0.523501385305117,0.717648862738599,0.657459539540562,0.617863149490609,0.124247003722838
"1046","36029",0.720676069913154,0.605314920333903,0.536967687282819,0.58845898013252,0.31901678752827,0.581541230161391,0.565845887179742,0.439839819532004,0.334746128781335
"1047","36033",0.713590643808006,0.550756687395264,0.433287957798242,0.588183157216016,0.565816150737775,0.574715702104747,0.709261666331728,0.501343738566783,0.386936913567018
"1048","36035",0.362717313294464,0.524665537142149,0.366897871282134,0.222744344365194,0.914772930919708,0.913971906504446,0.898000165789943,0.906939258795095,0.0902008723133896
"1049","36037",0.414800431246992,0.47778961469267,0.339556400934703,0.282311287203199,0.871205647470203,0.894734461466348,0.886020248404333,0.826350856038344,0.129043450883461
"1050","36043",0.388349966489154,0.600476652817234,0.382525192658725,0.308277734673307,0.920696136224718,0.916851225614428,0.918100034415615,0.923374235726897,0.082448613663783
"1051","36045",0.429685224412887,0.468742688364273,0.453028338891467,0.371890543610215,0.70110791322357,0.763048975945727,0.68012995922229,0.707435914484306,0.117724910742233
"1052","36047",0.783060521913928,0.506357382837418,0.548757063867748,0.561555541628589,0.130516244945798,0.371007420899016,0.264069037166172,0.227064684722568,0.338395826924944
"1053","36051",0.492627914761193,0.385205117568351,0.351121277368782,0.276025230677975,0.696301226009563,0.923066738928295,0.828186669591145,0.814448385537559,0.137005861476852
"1054","36053",0.493108529933533,0.605836556921605,0.316655006400191,0.26943657929451,0.886689220437452,0.830913589262661,0.898254239192645,0.894623343120588,0.105018510430446
"1055","36055",0.625190389900163,0.436873840341871,0.525160219043053,0.500739323376316,0.382142549413494,0.699044800213818,0.457875068192509,0.465347643882156,0.247957510318536
"1056","36057",0.57371848885833,0.4042380166107,0.525252294121576,0.469238843673358,0.652462861068432,0.800265213343662,0.655884036030613,0.675509557783015,0.167720242903463
"1057","36059",0.77297532458939,0.448676731854374,0.478620674609935,0.481273678350192,0.229835256774313,0.564450353526343,0.42154730620861,0.407359822049754,0.25454509276902
"1058","36061",0.701199894452469,0.342518669874348,0.615236392757756,0.523116782121539,0.225915187642317,0.477545671600744,0.269609440213586,0.317564213644062,0.255512265612152
